id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,"uplifting,bright,feel-good"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,"focused,late-night,cozy"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,55,2010s,"aggressive,powerful,driving"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,72,2020s,"peaceful,cozy,studious"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,"motivating,aggressive,pumped"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2020s,"ethereal,dreamy,meditative"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,58,2010s,"nostalgic,warm,intimate"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,61,2010s,"nostalgic,cinematic,retrofuturistic"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,68,2020s,"productive,calm,studious"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020s,"euphoric,bright,summer"
11,Velvet Midnight,Sable Rose,r&b,romantic,0.55,95,0.78,0.65,0.42,70,2020s,"sensual,romantic,soulful"
12,Neon Riot,Gridlock,hip-hop,intense,0.84,140,0.65,0.87,0.08,82,2020s,"aggressive,hype,urban"
13,Dust and Gold,Willow Creek,country,nostalgic,0.52,104,0.72,0.59,0.74,48,2010s,"nostalgic,warm,heartfelt"
14,Quiet Hours,Aria Collective,classical,sad,0.22,58,0.38,0.31,0.95,35,2010s,"melancholic,contemplative,cinematic"
15,Bass Drop City,Pulse Circuit,electronic,energetic,0.92,145,0.55,0.91,0.03,77,2020s,"euphoric,pumped,festival"
16,Harbor Lights,The Drifters,folk,melancholic,0.31,68,0.45,0.44,0.88,44,2010s,"nostalgic,melancholic,intimate"
17,Rage Protocol,Iron Choir,metal,angry,0.97,168,0.32,0.71,0.06,52,2010s,"aggressive,cathartic,intense"
18,Island Breeze,Solar Keys,reggae,relaxed,0.48,88,0.82,0.76,0.61,60,2020s,"chill,tropical,feel-good"
